financial_year,port,million_tonnes,cargo_type
2017-18,Perth,18.95258300986,Loaded
2018-19,Perth,18.24528905741,Loaded
2019-20,Perth,16.61306960134,Loaded
2020-21,Perth,15.08774164168,Loaded
1995-96,Hobart,0.7487199499999999,Loaded
1996-97,Hobart,0.25699353,Loaded
1997-98,Hobart,0.59000852,Loaded
1998-99,Hobart,0.72691406,Loaded
1999-00,Hobart,0.93095806,Loaded
2000-01,Hobart,0.5670805400000001,Loaded
2001-02,Hobart,1.5584075,Loaded
2002-03,Hobart,1.2510044,Loaded
2003-04,Hobart,1.4,Loaded
2004-05,Hobart,1.7908133,Loaded
2005-06,Hobart,0.6679005689999999,Loaded
2006-07,Hobart,0.7949775144499999,Loaded
2007-08,Hobart,0.84757240527,Loaded
2008-09,Hobart,0.8612607409699999,Loaded
2009-10,Hobart,0.69550257201,Loaded
2010-11,Hobart,0.69238102056,Loaded
2011-12,Hobart,0.90471874169,Loaded
2012-13,Hobart,0.71328914915,Loaded
2013-14,Hobart,0.70264013985,Loaded
2014-15,Hobart,0.62210142216,Loaded
2015-16,Hobart,0.76199568866,Loaded
2016-17,Hobart,0.67148178485,Loaded
2017-18,Hobart,0.82742206203,Loaded
2018-19,Hobart,0.79120313926,Loaded
2019-20,Hobart,0.74072109418,Loaded
2020-21,Hobart,0.72549155059,Loaded
1995-96,Darwin,0.91904424,Loaded
1996-97,Darwin,1.2646084,Loaded
1997-98,Darwin,0.8632192,Loaded
1998-99,Darwin,0.71149563,Loaded
1999-00,Darwin,0.61066683,Loaded
2000-01,Darwin,0.36933028,Loaded
2001-02,Darwin,0.33310619,Loaded
2002-03,Darwin,0.36185467,Loaded
2003-04,Darwin,0.8,Loaded
2004-05,Darwin,1.0600844,Loaded
2005-06,Darwin,1.1752406340000001,Loaded
2006-07,Darwin,3.9304760071,Loaded
2007-08,Darwin,4.536616798099999,Loaded
2008-09,Darwin,6.0611387101,Loaded
2009-10,Darwin,6.4198218797,Loaded
2010-11,Darwin,6.1599845739,Loaded
2011-12,Darwin,5.46067991956,Loaded
2012-13,Darwin,6.72223225549,Loaded
2013-14,Darwin,6.97950351078,Loaded
2014-15,Darwin,5.52964231847,Loaded
2015-16,Darwin,4.80213728608915,Loaded
2016-17,Darwin,4.04768760910551,Loaded
2017-18,Darwin,4.3259915054,Loaded
2018-19,Darwin,9.55602860325,Loaded
2019-20,Darwin,13.82136749241,Loaded
2020-21,Darwin,14.43590883123,Loaded
1995-96,Sydney,12.200628,Discharged
1996-97,Sydney,15.733531,Discharged
1997-98,Sydney,16.039577,Discharged
1998-99,Sydney,15.556546,Discharged
1999-00,Sydney,17.297432,Discharged
2000-01,Sydney,17.856562,Discharged
2001-02,Sydney,17.647199,Discharged
2002-03,Sydney,18.383748,Discharged
2003-04,Sydney,19.7,Discharged
2004-05,Sydney,19.612555,Discharged
2005-06,Sydney,20.500621608,Discharged
2006-07,Sydney,21.784599526,Discharged
2007-08,Sydney,21.378814045000002,Discharged
2008-09,Sydney,19.851334033,Discharged
2009-10,Sydney,21.335303607999997,Discharged
2010-11,Sydney,21.54929105,Discharged
2011-12,Sydney,21.21418079761,Discharged
2012-13,Sydney,21.31564536351,Discharged
2013-14,Sydney,20.73827151806,Discharged
2014-15,Sydney,19.9691331478311,Discharged
2015-16,Sydney,20.37727442516,Discharged
2016-17,Sydney,21.0302712734,Discharged
2017-18,Sydney,22.38505767998,Discharged
2018-19,Sydney,22.66010208216,Discharged
2019-20,Sydney,21.26413318605,Discharged
2020-21,Sydney,20.20321597384,Discharged
1995-96,Melbourne,10.352921,Discharged
1996-97,Melbourne,10.551181,Discharged
1997-98,Melbourne,10.763685,Discharged
1998-99,Melbourne,12.566668,Discharged
1999-00,Melbourne,12.439473,Discharged
2000-01,Melbourne,11.613742,Discharged
2001-02,Melbourne,12.431905,Discharged
2002-03,Melbourne,14.227313,Discharged
2003-04,Melbourne,15.4,Discharged
2004-05,Melbourne,16.174237,Discharged
2005-06,Melbourne,16.219512063,Discharged
2006-07,Melbourne,17.746205547,Discharged
2007-08,Melbourne,18.761058332,Discharged
